Node(5, 11, 8, 1)
Node(4, 10,Node(5, 11, 8, 1)
Node(4, 10, 8, 1)
Node(3, 5, 8, 1)
Node(2, 6, 8, 1)
Node(1, 7, 8, 1)
motor throttle setted to 100
motor throttle setted to 0
motor throttle setted to 20
motor throttle setted to 0
force scale loaded
torque scale loaded
motor throttle setted to 0
-35.45,0.03
-36.26,0.03
-36.48,0.03
-36.48,0.02
-36.51,0.00
-35.69,0.00
-35.42,0.01
-35.42,-0.00
-36.00,0.01
-36.72,0.02
-36.82,0.03
-37.25,0.03
-36.99,0.04
-37.71,0.05
-38.14,0.03
-38.14,0.06
-37.85,0.05
-38.28,0.05
-38.11,0.04
-38.23,0.04
13396.06,0.04
10708.66,0.04
8559.20,0.04
6839.59,0.05
5463.47,0.06
4362.84,0.07
3482.85,0.05
2778.74,0.07
2214.88,0.06
1771.80,0.05
1417.31,0.04
1133.44,0.02
906.41,0.02
724.82,0.03
579.30,0.03
463.28,0.01
370.53,0.00
295.88,-0.00
236.63,-0.00
189.13,-0.00
150.97,-0.00
120.23,-0.01
95.03,-0.01
75.27,-0.01
59.44,-0.01
47.38,0.00
37.47,0.02
28.87,0.02
22.43,0.03
17.58,0.03
13.93,0.02
11.17,0.02
7.81,0.02
5.91,0.04
4.20,0.05
1.99,0.04
1.08,0.02
-0.19,0.03
13621.38,0.03
10896.51,0.04
8716.32,0.02
6972.33,0.02
5576.49,0.02
4460.40,0.04
3567.89,0.02
2853.04,0.03
2281.11,0.03
1823.62,0.02
1458.21,0.01
1165.67,0.01
931.63,0.01
744.66,0.01
594.38,0.01
474.54,0.02
378.33,0.02
300.85,0.03
239.49,0.05
190.09,0.03
151.40,0.05
120.13,0.04
95.15,0.05
74.98,0.05
58.60,0.03
45.75,0.06
35.38,0.06
26.68,0.06
19.62,0.04
13.88,0.05
9.20,0.05
6.56,0.04
3.63,0.04
1.03,0.05
-0.05,0.05
-1.42,0.06
-2.43,0.07
-3.00,0.07
-3.82,0.07
-4.49,0.06
-4.66,0.06
-5.36,0.07
-6.12,0.06
-7.01,0.07
-7.33,0.08
-7.47,0.09
-7.35,0.09
-7.71,0.08
-7.88,0.07
-8.41,0.08
-8.62,0.09
-8.67,0.09
-8.96,0.08
-9.20,0.06
-9.22,0.08
-7.81,0.06
-6.32,0.04
-5.33,0.03
-3.94,0.01
-3.29,0.01
-2.40,0.01
-2.35,0.02
-1.80,0.02
-1.54,0.01
-1.80,0.00
-1.97,0.01
-1.97,0.01
-1.83,-0.00
-1.75,0.00
-1.56,0.00
-1.20,0.00
-1.10,0.01
-1.44,0.02
-0.84,0.01
-1.49,-0.00
-1.39,-596.35
-1.42,-477.09
-1.75,-381.66
-1.42,-305.33
-1.08,-244.26
-0.98,-195.39
-0.91,-156.30
-0.77,-125.02
-0.46,-100.02
-0.96,-80.00
-1.49,-64.00
-1.99,-51.20
-2.09,-40.95
-2.07,-32.75
-2.23,-26.20
-2.02,-20.96
-1.68,-16.74
-1.37,-13.39
-1.03,-10.71
-1.56,-8.55
-1.56,-6.82
-1.92,-5.44
-1.73,-4.35
-2.31,-3.46
-3.07,-2.76
-3.67,-2.20
-3.24,-1.74
-3.34,-1.38
-2.93,-1.10
-2.35,-0.85
motor throttle setted to 40
28.65,5.62
28.87,5.78
31.61,5.87
33.58,5.91
33.79,5.97
35.76,6.08
38.50,6.11
35.88,6.09
36.36,6.13
37.27,6.16
37.90,6.17
38.98,6.20
39.84,6.15
37.97,6.11
37.51,6.17
38.28,6.21
41.76,6.20
40.42,6.20
40.04,6.21
41.02,6.19
38.79,6.23
39.96,6.19
42.99,6.19
41.91,6.16
40.52,6.23
42.53,-598.73
42.51,-477.75
43.11,-380.94
43.69,-303.48
44.29,-241.56
40.13,-191.99
39.07,-152.35
41.21,-120.62
41.96,-95.25
42.73,-74.92
42.44,-58.71
41.24,-45.70
42.46,-35.28
44.50,-26.94
43.81,-20.35
42.58,-15.04
40.73,-10.77
40.71,-7.36
42.22,-4.61
